"","Week 2019-01-06","Week 2019-01-13","Week 2019-01-20","Week 2019-01-27","Week 2019-02-03","Week 2019-02-10","Week 2019-02-17","Week 2019-02-24","Week 2019-03-03","Week 2019-03-10","Week 2019-03-17","Week 2019-03-24","Week 2019-03-31","Week 2019-04-07","Week 2019-04-14","Week 2019-04-21","Week 2019-04-28","Week 2019-05-05","Week 2019-05-12","Week 2019-05-19","Week 2019-05-26","Week 2019-06-02","Week 2019-06-09","Week 2019-06-16","Week 2019-06-23","Week 2019-06-30","Week 2019-07-07","Week 2019-07-14","Week 2019-07-21","Week 2019-07-28","Week 2019-08-04","Week 2019-08-11","Week 2019-08-18","Week 2019-08-25","Week 2019-09-01","Week 2019-09-08","Week 2019-09-15","Week 2019-09-22","Week 2019-09-29","Week 2019-10-06","Week 2019-10-13","Week 2019-10-20","Week 2019-10-27","Week 2019-11-03","Week 2019-11-10","Week 2019-11-17","Week 2019-11-24","Week 2019-12-01","Week 2019-12-08","Week 2019-12-15","Week 2019-12-22"
"Alabama",0,0,0,1.9375,1.94891944990177,3.12844036697248,0,2.44444444444444,0,0,0,0,0,0,2.93193717277487,2.52631578947368,2.11034482758621,3.24427480916031,7.65941343424787,4.63700234192037,2.32062780269058,1.64804469273743,0,5.11835506519559,1.82767624020888,0,3.80434782608696,0,0,2.22516556291391,0,1.88235294117647,0,0,0,0,1.49776785714286,2.61333333333333,1.50520833333333,1.96825396825397,0,1.96897810218978,0,3.29380053908356,0,2.44556962025316,0,0,0,0,0
"Alaska",0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.9424083769633,0,0,0,0,0,0,0,0,0,0,0,0,12.8032345013477,0,0,0,0,0,0,0,0,0,0,0,0,12.1338912133891,0,0,0,0,0,0,0,0,0,0
"Arizona",1.1304347826087,0,0,0,1.15717092337917,0,0,1.44444444444444,0,0,0,1.34174022698613,0,0,0,4.37894736842105,1.24137931034483,5.64503816793893,0,1.40515222482436,0,2.96648044692737,0,3.08726178535607,0,0,0,0,1.72486033519553,0,2.81658291457286,1.05882352941176,0,0,0,1.20826709062003,0,0,0.885416666666667,1.20634920634921,0.97071129707113,1.21167883211679,0.645161290322581,1.9622641509434,0,0,1.31045241809672,0,0,0,0
"Arkansas",0,0,0,3.5,3.41060903732809,0,0,0,0,0,0,0,0,0,0,4.37894736842105,0,0,0,0,4.17713004484305,0,6.19089759797724,0,3.38120104438642,3.38904899135447,0,0,0,0,4.37311557788945,6.70588235294118,0,3.9460370994941,0,0,0,0,0,0,2.91213389121339,0,2.01612903225806,5.88679245283019,4.11392405063291,4.4253164556962,0,0,0,0,0
"California",0.347826086956522,0.274406332453826,0.436046511627907,0.5625,0.365422396856582,1.71559633027523,0.0572390572390572,0.666666666666667,0.904639175257732,0.945454545454545,0.50185873605948,0.670870113493064,1.06188118811881,1.43507972665148,0.837696335078534,2.10526315789474,1.73793103448276,2.59541984732824,2.69820245979186,1.54566744730679,1.23766816143498,0.769087523277467,5.35145385587863,3.73721163490471,1.37075718015666,2.17867435158501,2.53623188405797,2.94474393530997,4.37849162011173,2.70198675496689,1.55653266331658,1.05882352941176,1.85515320334262,1.92242833052277,2.18258132214061,2.05405405405405,1.77008928571429,1.79666666666667,0.973958333333333,0.380952380952381,0.728033472803347,1.51459854014599,0.403225806451613,0.630727762803235,1.56329113924051,1.74683544303797,0.234009360374415,0.380952380952381,0.273684210526316,0.195402298850575,1.0337972166998
"Colorado",0,0,0,0,0,0,0,0,0,0,0,0,2.45049504950495,0,0,0,1.36551724137931,1.94656488549618,1.56669820245979,0,0,0,2.09860935524652,0,0,0,0,0,0,0,0,1.17647058823529,0,0,0,1.20826709062003,0.953125,0.816666666666667,1.859375,0,1.09205020920502,0,1.45161290322581,0,0,0,0,0,0,0,0
"Connecticut",0,0,0,2.0625,0,0,0,2.44444444444444,0,0,0,0,0,5.34168564920273,0,0,0,0,2.52412488174078,0,2.32062780269058,0,3.46270543615676,0,1.91906005221932,3.63112391930836,1.99275362318841,2.04851752021563,0,0,5.1143216080402,0,1.44289693593315,2.4283305227656,0,0,0,0,1.59375,0,1.69874476987448,2.27189781021898,0,7.00808625336927,0,2.67848101265823,4.6801872074883,6.28571428571429,0,0,0
"Delaware",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.69565217391304,0,0,0,0,0,6.3899721448468,10.1180438448567,8.39454354669465,8.69952305246423,0,0,0,0,0,0,0,0,0,11.6455696202532,0,0,0,0,0
"District of Columbia",0,0,0,0,0,0,2.69023569023569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.97826086956522,5.88948787061995,0,0,0,0,4.53481894150418,0,6.37985309548793,6.04133545310016,0,4.08333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0
"Florida",1.04347826086957,0.754617414248021,1.45348837209302,0.6875,0.365422396856582,1.11009174311927,0.171717171717172,2.55555555555556,0.804123711340206,0.236363636363636,2.5092936802974,0.812105926860025,0.653465346534653,0.478359908883827,0.418848167539267,0.926315789473684,0.372413793103448,2.98473282442748,2.35004730368969,0.843091334894614,1.70179372197309,1.20856610800745,1.25916561314791,0.893681043129388,1.00522193211488,1.93659942363112,1.81159420289855,1.6644204851752,2.12290502793296,0,0.889447236180904,1.05882352941176,0.618384401114206,1.2141652613828,1.34312696747114,1.08744038155803,0.272321428571429,0,0,0.380952380952381,0.849372384937238,0.454379562043796,0.403225806451613,0,0.90506329113924,0.465822784810127,0,0.761904761904762,0.136842105263158,1.10727969348659,1.35188866799205
