State,Week 2020-01-05,Week 2020-01-12,Week 2020-01-19,Week 2020-01-26,Week 2020-02-02,Week 2020-02-09,Week 2020-02-16,Week 2020-02-23,Week 2020-03-01,Week 2020-03-08,Week 2020-03-15,Week 2020-03-22,Week 2020-03-29,Week 2020-04-05,Week 2020-04-12,Week 2020-04-19,Week 2020-04-26,Week 2020-05-03,Week 2020-05-10,Week 2020-05-17,Week 2020-05-24,Week 2020-05-31,Week 2020-06-07,Week 2020-06-14,Week 2020-06-21,Week 2020-06-28,Week 2020-07-05,Week 2020-07-12,Week 2020-07-19,Week 2020-07-26,Week 2020-08-02,Week 2020-08-09,Week 2020-08-16,Week 2020-08-23,Week 2020-08-30,Week 2020-09-06,Week 2020-09-13,Week 2020-09-20,Week 2020-09-27,Week 2020-10-04,Week 2020-10-11,Week 2020-10-18,Week 2020-10-25,Week 2020-11-01,Week 2020-11-08,Week 2020-11-15,Week 2020-11-22,Week 2020-11-29,Week 2020-12-06,Week 2020-12-13,Week 2020-12-20
Rhode Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.601659751,0,0,0,0,0,0,0,0,0,0,0,0,0,3.32278481,0,2.798418972,0,0,0,0,0,5.405405405,0,0,0,0,0,0,0
South Carolina,1.267080745,1.125925926,1.314285714,0,1.817941953,1.394495413,0,0.585657371,0,0,4.197530864,0,0,1.345323741,1.116427432,0,1.77672209,0,1.013003901,0,0.776801406,0.728215768,1.887871854,0.937007874,1.474789916,0.890701468,0,2.616574586,5.26446281,0,0.742587601,0,0,0.70661157,0,2.569620253,0.863328823,0,0,3.898050975,0,0.917791411,0,0,0,1.45137881,0,0,0,1.822709163,0
South Dakota,0,0,0,0,0,0,0,0,0,1.839416058,0,0,0,0,0,0,0,0,0,5.309734513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.743083004,0,0,0,0,0,0,0,0,0,0,0,0,0
Tennessee,0,0,0.457142857,0.574468085,0.65171504,0,2.732919255,0.40438247,0.947098976,0,0,0,0,0.93764988,0,0.940298507,0,0,1.433029909,1.061946903,0,0,0,3.948818898,1.021008403,0.616639478,2.12195122,1.185635359,1.396694215,4.175588865,1.055256065,1.897503285,0,0.966942149,1.173859433,1.196202532,0,2.039525692,0,0,0.847826087,0.647852761,0.845528455,0,1.705047319,1.959361393,0,0.387096774,0,0,0
Texas,0.571428571,0.059259259,0.171428571,0.127659574,0.411609499,0,0,0,0.614334471,0.087591241,0.335802469,1.181937173,0.676814988,1.773381295,0.956937799,0.805970149,1.090261283,0.532110092,0.741222367,0.902654867,0.717047452,0.67219917,1.774599542,1.137795276,0,1.096247961,1.317073171,0.490607735,0.32231405,1.377944325,0.117250674,1.048620237,1.228215768,0.70661157,0.586929716,0.620253165,0.392422192,0.52173913,0.473684211,0.779610195,0.706521739,0.134969325,1.310569106,0.648648649,1.124605678,1.669085631,0.56,0.193548387,0.725527831,0.268924303,0.189349112
Utah,0,0,0,0,1.337730871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.426829268,0,0,0,0,0,0,0,0,1.240506329,0,0,0,0,0,2.699386503,1.817886179,0,0,2.031930334,1.76,0,0,0,1.956607495
Vermont,0,0,0,6.382978723,0,0,0,0,0,2.189781022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.851549755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virginia,0,0.237037037,0,0,0,0,1.913043478,0.292828685,0.66552901,0,1.007407407,2.748691099,0.557377049,0.652278177,1.052631579,0,0.847980998,1.773700306,0,0.743362832,0,0,1.359267735,0,0.680672269,0.411092985,0.475609756,1.226519337,0,0.709850107,0,1.298291721,0,1.004132231,0.796547472,0.797468354,1.177266576,0.33201581,0.5,0,1.648550725,0.404907975,0.591869919,0,0,3.410740203,1.2,0,0,2.629482072,0
Washington,0,0,0,0.446808511,0,0,0,0.348605578,0,0.153284672,0,2.226439791,0,0,0.637958533,1.567164179,1.009501188,1.064220183,0,0.424778761,0.41827768,0.840248963,0.528604119,0.535433071,0.397058824,0,0,1.022099448,1.181818182,0,0,0,0,0,0,0,0.941813261,0,0.631578947,0.740629685,0,0.512883436,0.76097561,0,0.72555205,1.596516691,0,0.709677419,0.994241843,0,0
West Virginia,0,0,0,0,0,0,0,0,0,0,0,0,3.981264637,0,0,0,0,0,0,0,0,0,3.511441648,6.692913386,0,0,3.658536585,3.10718232,0,0,2.774932615,4.993429698,0,0,3.144266338,3.14556962,3.178619756,0,0,0,0,0,4.227642276,0,0,0,4,0,0,0,0
Wisconsin,0,0.888888889,0.514285714,0,0.754617414,1.089449541,1.585093168,0,1.100682594,0,0,0,0,0,0,0,0,0,0,0.584070796,1.25483304,1.232365145,1.585812357,0.803149606,0.62394958,0,2.414634146,0.695027624,0.859504132,0,0,0,3.531120332,2.417355372,0,0,0.706359946,0.56916996,0.868421053,1.091454273,0,0,0,0,0,0,2,0,2.687140115,0,0
Wyoming,0,5.925925926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.451612903,0,0,0
